job_id,title,company,location,category,salary_avg,salary_min,salary_max,experience_level,employment_type,skills_required,date_posted,is_remote,month_posted,country,num_skills
28,Help Desk Technician,Amazon,"Brisbane, Australia",IT Support,47132,30590,63674,Senior Level,Contract,DHCP|Active Directory|Windows Server|TCP/IP,2025-12-26,False,2025-12,Australia,4
29,Senior Software Developer,SAP,"Melbourne, Australia",Software,149422,108441,176174,Senior Level,Contract,Kubernetes|CI/CD|Azure,2025-10-22,False,2025-10,Australia,3
30,Frontend Developer,Shopify,"New York, USA",Software,113006,60406,127938,Senior Level,Contract,Azure|.NET|SQL|Java|React,2025-12-22,False,2025-12,USA,5
31,Machine Learning Engineer,FutureMind,"Melbourne, Australia",Data,148715,102541,180728,Mid Level,Full-time,NumPy|Python|Pandas|Statistics,2026-01-04,False,2026-01,Australia,4
32,Business Intelligence Analyst,ClearPath Technologies,"Adelaide, Australia",Data,88131,60753,115510,Entry Level,Full-time,Python|Tableau|Scikit-learn|R|AWS,2026-03-20,False,2026-03,Australia,5
33,Ai Engineer,Optus,Remote,Data,148336,110139,202149,Entry Level,Full-time,Statistics|Azure|Pandas,2026-01-23,True,2026-01,Remote,3
34,Ai Engineer,ClearPath Technologies,"New York, USA",Data,192044,113821,206253,Mid Level,Contract,Hadoop|Machine Learning|Excel|Spark,2025-10-21,False,2025-10,USA,4
35,Software Developer,StartupXYZ,Remote,Software,101352,73308,140067,Senior Level,Full-time,AWS|Git|CI/CD|Node.js|C#,2025-12-12,True,2025-12,Remote,5
36,Senior Data Scientist,Commonwealth Bank,"Brisbane, Australia",Data,152127,124324,179930,Lead/Manager,Full-time,TensorFlow|Google Cloud|Pandas,2025-12-09,False,2025-12,Australia,3
37,Cloud Engineer,InnoTech,"Adelaide, Australia",Cloud,130938,93501,168375,Mid Level,Full-time,Serverless|Azure|Kubernetes|Python,2025-10-11,False,2025-10,Australia,4
38,Data Engineer,JPMorgan Chase,"London, UK",Data,124382,90085,158680,Senior Level,Full-time,Python|SQL|NumPy|Jupyter,2025-10-24,False,2025-10,UK,4
39,Cybersecurity Analyst,Spotify,"New York, USA",Cybersecurity,124569,79431,128185,Senior Level,Contract,Compliance|Incident Response|Penetration Testing|SIEM|Linux|Encryption,2026-03-28,False,2026-03,USA,6
40,Web Developer,NexGen Systems,"Sydney, Australia",Software,79038,51965,98585,Senior Level,Internship,JavaScript|CI/CD|.NET|React|REST APIs|TypeScript,2025-12-01,False,2025-12,Australia,6
41,Junior Software Developer,FutureMind,"London, UK",Software,68644,52251,85037,Entry Level,Full-time,CI/CD|REST APIs|Java|GraphQL|HTML/CSS|Node.js,2026-01-25,False,2026-01,UK,6
42,It Support Specialist,IBM,"Melbourne, Australia",IT Support,59433,42939,70268,Senior Level,Full-time,Linux|Azure AD|TCP/IP|Networking|PowerShell|DNS,2026-01-07,False,2026-01,Australia,6
43,Data Engineer,JPMorgan Chase,"Sydney, Australia",Data,135263,91275,166369,Mid Level,Full-time,Excel|Machine Learning|Azure|Spark,2025-11-11,False,2025-11,Australia,4
44,Full Stack Developer,NexGen Systems,"Sydney, Australia",Software,121256,79569,151395,Mid Level,Part-time,GraphQL|Python|Kubernetes|Git|AWS|Azure,2025-12-12,False,2025-12,Australia,6
45,Data Engineer,Woolworths Group,"Melbourne, Australia",Data,132086,92999,158595,Lead/Manager,Internship,Python|Statistics|Spark|Azure|R|Machine Learning,2025-11-30,False,2025-11,Australia,6
46,Data Analyst,Accenture,Remote,Data,74172,56455,99697,Entry Level,Full-time,Excel|Machine Learning|Power BI,2025-12-01,True,2025-12,Remote,3
47,Machine Learning Engineer,Shopify,"Melbourne, Australia",Data,148472,102449,180355,Entry Level,Internship,Scikit-learn|Machine Learning|Google Cloud|Excel|Jupyter|Python,2025-11-11,False,2025-11,Australia,6
48,Cybersecurity Analyst,NAB,"Berlin, Germany",Cybersecurity,104461,71124,137799,Mid Level,Full-time,Network Security|Penetration Testing|Encryption,2026-03-24,False,2026-03,Germany,3
49,Cloud Engineer,Microsoft,"Berlin, Germany",Cloud,130557,91874,169240,Lead/Manager,Full-time,CloudFormation|Kubernetes|Terraform|Google Cloud|Azure|CI/CD,2026-02-16,False,2026-02,Germany,6
50,Software Developer,Salesforce,Singapore,Software,110265,74433,146097,Senior Level,Part-time,AWS|C#|TypeScript|.NET|React|Kubernetes,2026-01-11,False,2026-01,Singapore,6
51,Ai Engineer,KPMG,"Sydney, Australia",Data,169099,114272,207822,Senior Level,Full-time,Hadoop|Excel|Git|Spark|Python|Machine Learning,2025-12-12,False,2025-12,Australia,6
52,Cybersecurity Analyst,Snowflake,"Sydney, Australia",Cybersecurity,112413,77532,136588,Mid Level,Part-time,Risk Assessment|Python|AWS Security|Compliance,2025-11-30,False,2025-11,Australia,4
53,Junior Software Developer,Westpac,"Berlin, Germany",Software,68816,49022,88610,Entry Level,Full-time,REST APIs|.NET|MongoDB|AWS|Docker,2026-03-22,False,2026-03,Germany,5
54,Machine Learning Engineer,TechCorp Solutions,"Melbourne, Australia",Data,151664,100813,188071,Entry Level,Full-time,Google Cloud|Scikit-learn|AWS|Python|Pandas,2026-03-08,False,2026-03,Australia,5
55,Web Developer,KPMG,"Adelaide, Australia",Software,77625,48937,106314,Entry Level,Part-time,REST APIs|Python|TypeScript|Git|.NET|C#,2025-10-03,False,2025-10,Australia,6
56,Devops Engineer,Salesforce,"Brisbane, Australia",Software,128883,94068,163698,Entry Level,Full-time,Kubernetes|REST APIs|SQL|Git|CI/CD,2026-01-29,False,2026-01,Australia,5
57,Database Administrator,Atlassian,"New York, USA",Data,114759,68779,122487,Mid Level,Full-time,Pandas|Jupyter|Scikit-learn|Git,2025-10-28,False,2025-10,USA,4
58,Software Developer,GreenField Analytics,"Sydney, Australia",Software,110059,68727,140912,Lead/Manager,Full-time,CI/CD|Node.js|SQL,2026-03-18,False,2026-03,Australia,3
59,Junior Data Scientist,Salesforce,"Toronto, Canada",Data,79861,68042,91680,Entry Level,Contract,Jupyter|Google Cloud|Data Visualization|Spark|R,2026-03-16,False,2026-03,Canada,5
60,Product Analyst,InnoTech,"Adelaide, Australia",Data,93817,66070,121565,Lead/Manager,Full-time,Power BI|Google Cloud|TensorFlow,2026-03-08,False,2026-03,Australia,3
61,Frontend Developer,Palantir,"San Francisco, USA",Software,122818,69933,134766,Senior Level,Internship,Agile|AWS|REST APIs|CI/CD,2026-01-12,False,2026-01,USA,4
62,System Administrator,Stripe,"Bangalore, India",IT Support,40243,55986,104988,Mid Level,Full-time,PowerShell|Networking|Office 365,2026-02-03,False,2026-02,India,3
63,Senior Data Scientist,Shopify,"Sydney, Australia",Data,157642,124043,176229,Lead/Manager,Full-time,Data Visualization|Jupyter|TensorFlow|SQL|NumPy|Power BI,2025-09-30,False,2025-09,Australia,6
64,Business Intelligence Analyst,IBM,"London, UK",Data,90247,64663,115832,Entry Level,Full-time,Machine Learning|Tableau|AWS|NumPy,2025-10-15,False,2025-10,UK,4
65,Senior Data Analyst,NexGen Systems,"San Francisco, USA",Data,125216,80977,127718,Lead/Manager,Full-time,Data Visualization|Tableau|Google Cloud|TensorFlow|Statistics,2026-01-19,False,2026-01,USA,5
66,Junior Data Analyst,NAB,"Melbourne, Australia",Data,65158,47078,77034,Entry Level,Contract,Python|Excel|NumPy|Google Cloud|Scikit-learn,2025-11-02,False,2025-11,Australia,5
67,It Support Specialist,Oracle,"Melbourne, Australia",IT Support,56071,42245,64557,Mid Level,Full-time,Office 365|Troubleshooting|Linux|PowerShell|DNS|DHCP,2026-01-03,False,2026-01,Australia,6
68,Junior Software Developer,Telstra,"Adelaide, Australia",Software,69054,51744,86365,Entry Level,Contract,CI/CD|JavaScript|REST APIs|TypeScript|Docker|Node.js,2026-01-06,False,2026-01,Australia,6
69,Product Analyst,Canva,"Toronto, Canada",Data,95396,65018,125775,Mid Level,Contract,Machine Learning|SQL|Pandas|Git|Hadoop|TensorFlow,2025-11-22,False,2025-11,Canada,6
70,Business Intelligence Analyst,Shopify,Singapore,Data,85572,63998,107146,Entry Level,Full-time,Jupyter|Tableau|Python|NumPy|R|Power BI,2025-11-08,False,2025-11,Singapore,6
71,Product Analyst,Stripe,"Berlin, Germany",Data,94709,66858,122560,Senior Level,Internship,Jupyter|TensorFlow|Git|Scikit-learn,2025-12-13,False,2025-12,Germany,4
72,Backend Developer,ClearPath Technologies,"Brisbane, Australia",Software,110700,79031,142369,Mid Level,Full-time,TypeScript|SQL|Azure|Docker,2025-11-20,False,2025-11,Australia,4
73,Software Developer,Accenture,"Bangalore, India",Software,54779,74616,144501,Senior Level,Full-time,Node.js|REST APIs|CI/CD|GraphQL|Kubernetes|Java,2025-11-08,False,2025-11,India,6
74,Ux Designer,PivotPoint Data,"Melbourne, Australia",Design,96870,58090,126427,Lead/Manager,Contract,HTML/CSS|Wireframing|Figma|Adobe XD|Accessibility|JavaScript,2025-12-21,False,2025-12,Australia,6
75,Junior Data Scientist,PivotPoint Data,"Sydney, Australia",Data,83328,68115,90606,Entry Level,Full-time,Tableau|Data Visualization|Google Cloud|Git|Azure,2026-03-26,False,2026-03,Australia,5
76,Junior Data Scientist,Westpac,"San Francisco, USA",Data,95349,61225,97692,Entry Level,Contract,Spark|Statistics|Excel|Google Cloud|Azure,2026-01-07,False,2026-01,USA,5
77,Ux Designer,Summit AI,Remote,Design,85239,63864,115588,Lead/Manager,Contract,JavaScript|HTML/CSS|User Research|Figma,2025-12-08,True,2025-12,Remote,4
78,Ux Designer,Optus,"Sydney, Australia",Design,93929,56646,122269,Mid Level,Full-time,Figma|Accessibility|Adobe XD|Prototyping|Wireframing,2025-12-28,False,2025-12,Australia,5
79,Frontend Developer,ANZ,"San Francisco, USA",Software,123265,69272,136170,Lead/Manager,Full-time,Java|TypeScript|AWS|.NET,2025-11-22,False,2025-11,USA,4
80,Cybersecurity Analyst,CloudFirst Inc,"Melbourne, Australia",Cybersecurity,108512,74161,132529,Entry Level,Internship,Compliance|Python|Risk Assessment,2026-02-17,False,2026-02,Australia,3
81,Software Developer,GreenField Analytics,"Melbourne, Australia",Software,114586,71951,146310,Mid Level,Full-time,C#|AWS|GraphQL|React|.NET,2025-12-22,False,2025-12,Australia,5
82,Software Developer,Quantum Leap Tech,Remote,Software,101630,65359,148599,Mid Level,Full-time,Python|HTML/CSS|JavaScript|GraphQL|Git,2026-01-30,True,2026-01,Remote,5
83,Machine Learning Engineer,Netflix,"San Francisco, USA",Data,171126,99106,186104,Mid Level,Part-time,Tableau|SQL|TensorFlow|Data Visualization,2026-03-21,False,2026-03,USA,4
84,Software Developer,Datadog,"Brisbane, Australia",Software,108799,70352,147246,Lead/Manager,Contract,Node.js|CI/CD|Kubernetes|Agile,2025-11-21,False,2025-11,Australia,4
85,Product Analyst,TechCorp Solutions,"Melbourne, Australia",Data,105580,72894,128213,Senior Level,Internship,Tableau|Data Visualization|Excel|Power BI|NumPy,2025-10-07,False,2025-10,Australia,5
86,Senior Software Developer,Shopify,"Brisbane, Australia",Software,142216,106479,177954,Lead/Manager,Full-time,CI/CD|React|REST APIs|Kubernetes|SQL,2025-10-31,False,2025-10,Australia,5
87,Devops Engineer,Amazon,"Toronto, Canada",Software,125280,85410,165150,Mid Level,Full-time,MongoDB|.NET|TypeScript|REST APIs|Git,2025-10-14,False,2025-10,Canada,5
88,Software Developer,JPMorgan Chase,"Sydney, Australia",Software,110235,73071,136902,Senior Level,Full-time,AWS|REST APIs|Kubernetes|Azure,2025-10-30,False,2025-10,Australia,4
89,Cybersecurity Analyst,BlueWave Software,"Adelaide, Australia",Cybersecurity,105140,71622,138659,Senior Level,Full-time,Python|Network Security|Linux|Penetration Testing|Compliance|Incident Response,2026-01-28,False,2026-01,Australia,6
90,Senior Software Developer,NexGen Systems,"Bangalore, India",Software,73423,113920,179773,Senior Level,Part-time,JavaScript|AWS|SQL|C#|React,2025-12-03,False,2025-12,India,5
91,Data Analyst,Deloitte,"Melbourne, Australia",Data,80701,50828,102890,Entry Level,Contract,Azure|Pandas|Excel|Google Cloud,2025-10-30,False,2025-10,Australia,4
92,Web Developer,Horizon Digital,Singapore,Software,77669,47417,107921,Mid Level,Full-time,SQL|Node.js|HTML/CSS,2025-11-11,False,2025-11,Singapore,3
93,Ux Designer,Salesforce,"Sydney, Australia",Design,90604,55422,117159,Entry Level,Full-time,User Research|Figma|Sketch|Adobe XD,2026-03-16,False,2026-03,Australia,4
94,Database Administrator,Horizon Digital,"Perth, Australia",Data,89421,61041,117802,Entry Level,Contract,Git|Azure|Tableau|Data Visualization|NumPy,2025-10-23,False,2025-10,Australia,5
95,It Support Specialist,Commonwealth Bank,Remote,IT Support,51035,39941,67504,Senior Level,Full-time,Windows Server|Troubleshooting|DHCP,2025-12-10,True,2025-12,Remote,3
96,Senior Data Analyst,NexGen Systems,Remote,Data,100510,81323,130277,Lead/Manager,Full-time,Power BI|Scikit-learn|AWS,2026-01-05,True,2026-01,Remote,3
97,Frontend Developer,ClearPath Technologies,"New York, USA",Software,119770,61624,137994,Senior Level,Full-time,Azure|REST APIs|.NET|MongoDB,2026-01-02,False,2026-01,USA,4
98,Data Scientist,StartupXYZ,"Melbourne, Australia",Data,121858,80120,151992,Entry Level,Full-time,Hadoop|Power BI|Jupyter|Excel|Git,2026-03-08,False,2026-03,Australia,5
99,Senior Software Developer,Telstra,"Sydney, Australia",Software,147654,107131,174115,Lead/Manager,Full-time,React|Azure|Kubernetes|HTML/CSS|JavaScript,2026-01-15,False,2026-01,Australia,5
100,Machine Learning Engineer,Goldman Sachs,"Adelaide, Australia",Data,141647,97535,185759,Senior Level,Full-time,Hadoop|AWS|Google Cloud,2026-02-28,False,2026-02,Australia,3
101,Ux Designer,Deloitte,"London, UK",Design,95881,64190,127573,Senior Level,Full-time,JavaScript|Figma|Sketch,2026-01-19,False,2026-01,UK,3
102,Senior Software Developer,ClearPath Technologies,"Toronto, Canada",Software,136536,105100,167972,Senior Level,Full-time,TypeScript|Node.js|Python|MongoDB|C#|GraphQL,2025-12-12,False,2025-12,Canada,6
103,Junior Software Developer,Goldman Sachs,"Sydney, Australia",Software,73009,54299,84768,Entry Level,Full-time,Node.js|Java|JavaScript,2025-10-08,False,2025-10,Australia,3
104,Devops Engineer,Westpac,"Brisbane, Australia",Software,128594,94946,162242,Mid Level,Part-time,Agile|React|Kubernetes|Azure,2026-03-01,False,2026-03,Australia,4
105,It Support Specialist,Databricks,"Melbourne, Australia",IT Support,52917,40053,60744,Senior Level,Contract,Windows Server|Networking|TCP/IP,2026-02-03,False,2026-02,Australia,3
106,Junior Software Developer,Microsoft,"Adelaide, Australia",Software,61045,46965,75126,Entry Level,Full-time,Java|Node.js|AWS|.NET|Kubernetes|JavaScript,2025-12-18,False,2025-12,Australia,6
107,Backend Developer,ByteShift Labs,"Melbourne, Australia",Software,118333,71275,154124,Lead/Manager,Full-time,HTML/CSS|AWS|Azure|Git|React|C#,2026-03-24,False,2026-03,Australia,6
108,Backend Developer,StartupXYZ,"Perth, Australia",Software,108685,75928,141443,Entry Level,Contract,.NET|Azure|AWS,2025-11-15,False,2025-11,Australia,3
109,Junior Software Developer,PwC,"San Francisco, USA",Software,77451,48630,80456,Entry Level,Contract,Agile|React|MongoDB,2025-11-19,False,2025-11,USA,3
110,Database Administrator,InnoTech,"Sydney, Australia",Data,92552,62419,113871,Mid Level,Contract,Pandas|R|Power BI|Excel|Azure,2025-10-20,False,2025-10,Australia,5
111,System Administrator,CodeCraft Studios,Singapore,IT Support,84256,62354,106159,Mid Level,Part-time,Backup|Office 365|DNS|Active Directory|Troubleshooting,2026-03-12,False,2026-03,Singapore,5
112,Business Intelligence Analyst,Apple,"Brisbane, Australia",Data,85304,64689,105920,Entry Level,Contract,TensorFlow|Data Visualization|Azure,2026-03-20,False,2026-03,Australia,3
113,Cybersecurity Analyst,Telstra,Remote,Cybersecurity,98113,71479,135076,Entry Level,Part-time,Compliance|Encryption|Risk Assessment|Network Security|Penetration Testing|Python,2025-10-14,True,2025-10,Remote,6
114,Junior Data Scientist,ByteShift Labs,"Sydney, Australia",Data,83156,61013,97381,Entry Level,Full-time,Excel|Git|R|SQL|NumPy,2025-12-07,False,2025-12,Australia,5
115,Senior Data Scientist,ClearPath Technologies,Singapore,Data,151035,120962,181108,Lead/Manager,Full-time,Machine Learning|Spark|SQL|Azure|Excel|R,2026-03-05,False,2026-03,Singapore,6
116,Ux Designer,NexGen Systems,"Sydney, Australia",Design,101944,64874,129307,Senior Level,Full-time,Adobe XD|User Research|Accessibility,2025-10-13,False,2025-10,Australia,3
117,Qa Engineer,Canva,Remote,Software,71943,51388,100072,Mid Level,Full-time,Node.js|Agile|TypeScript|Azure|Kubernetes,2026-03-25,True,2026-03,Remote,5
118,Junior Software Developer,Optus,"Melbourne, Australia",Software,68833,52967,78145,Entry Level,Contract,Node.js|TypeScript|Git|React,2025-11-20,False,2025-11,Australia,4
119,Junior Data Analyst,Oracle,"San Francisco, USA",Data,74924,45517,79358,Entry Level,Contract,Google Cloud|Statistics|Power BI|R,2026-02-11,False,2026-02,USA,4
120,Database Administrator,CodeCraft Studios,"Brisbane, Australia",Data,88942,67170,110715,Entry Level,Internship,Data Visualization|TensorFlow|Google Cloud|NumPy,2025-11-13,False,2025-11,Australia,4
121,Devops Engineer,Datadog,Remote,Software,118371,88178,161026,Senior Level,Full-time,REST APIs|Git|AWS|Agile|Azure|TypeScript,2026-02-06,True,2026-02,Remote,6
122,Junior Data Analyst,Telstra,"Brisbane, Australia",Data,63597,47873,79321,Entry Level,Full-time,Git|Tableau|TensorFlow,2026-03-08,False,2026-03,Australia,3
123,Junior Data Scientist,EY,"Berlin, Germany",Data,79334,67167,91502,Entry Level,Full-time,Data Visualization|Hadoop|Python|Machine Learning,2026-03-16,False,2026-03,Germany,4
124,Senior Data Analyst,Adobe,"Sydney, Australia",Data,112780,86142,128678,Lead/Manager,Part-time,Spark|Power BI|Azure,2026-03-20,False,2026-03,Australia,3
125,Web Developer,Optus,Remote,Software,73641,52685,102349,Mid Level,Part-time,Python|SQL|C#,2026-02-19,True,2026-02,Remote,3
126,Frontend Developer,NexGen Systems,"Melbourne, Australia",Software,104756,61821,137716,Entry Level,Internship,React|JavaScript|.NET|Azure|REST APIs,2026-03-13,False,2026-03,Australia,5
127,Help Desk Technician,JPMorgan Chase,"Canberra, Australia",IT Support,45311,30269,60353,Mid Level,Full-time,Azure AD|Active Directory|TCP/IP|DHCP,2026-03-29,False,2026-03,Australia,4
128,Senior Data Scientist,Amazon,"Bangalore, India",Data,74994,116402,183576,Lead/Manager,Contract,Git|AWS|Google Cloud,2025-11-20,False,2025-11,India,3
129,Cybersecurity Analyst,FutureMind,"Melbourne, Australia",Cybersecurity,108913,76338,131116,Senior Level,Part-time,Linux|Firewalls|AWS Security,2026-01-27,False,2026-01,Australia,3
130,System Administrator,Adobe,"Sydney, Australia",IT Support,82756,60447,97185,Mid Level,Full-time,Backup|Office 365|Active Directory|PowerShell|Troubleshooting,2025-10-02,False,2025-10,Australia,5
131,Senior Data Analyst,InnoTech,"Melbourne, Australia",Data,111878,87498,125605,Lead/Manager,Full-time,Pandas|SQL|Spark,2026-01-09,False,2026-01,Australia,3
132,Cybersecurity Analyst,McKinsey,"Brisbane, Australia",Cybersecurity,101409,73131,129687,Senior Level,Full-time,AWS Security|Linux|Python,2026-02-26,False,2026-02,Australia,3
133,Database Administrator,NexGen Systems,"Berlin, Germany",Data,95930,67204,124657,Senior Level,Full-time,R|Jupyter|Azure|Hadoop|Scikit-learn,2026-03-08,False,2026-03,Germany,5
134,Product Analyst,Oracle,"Melbourne, Australia",Data,100743,67956,123937,Mid Level,Part-time,Excel|Spark|TensorFlow,2026-01-10,False,2026-01,Australia,3
135,Qa Engineer,StartupXYZ,"Perth, Australia",Software,79015,57272,100759,Mid Level,Full-time,MongoDB|Azure|SQL|JavaScript|TypeScript,2025-10-09,False,2025-10,Australia,5
136,Cloud Engineer,IBM,"Sydney, Australia",Cloud,132893,92621,160510,Lead/Manager,Full-time,AWS|Google Cloud|Azure|Docker|Terraform|Serverless,2025-12-21,False,2025-12,Australia,6
137,Cloud Engineer,Stripe,"Brisbane, Australia",Cloud,131724,97371,166077,Mid Level,Part-time,Networking|Google Cloud|Python,2025-12-26,False,2025-12,Australia,3
138,Data Scientist,Westpac,"Melbourne, Australia",Data,122049,75424,157053,Mid Level,Internship,AWS|Tableau|Scikit-learn|Google Cloud|Data Visualization|Azure,2025-10-24,False,2025-10,Australia,6
139,Machine Learning Engineer,Palantir,"Toronto, Canada",Data,137116,97009,177223,Mid Level,Full-time,R|Data Visualization|Excel|Spark|Hadoop|Jupyter,2026-03-13,False,2026-03,Canada,6
140,Ux Designer,KPMG,"New York, USA",Design,110545,57580,126662,Entry Level,Full-time,User Research|HTML/CSS|Figma|Sketch,2026-02-22,False,2026-02,USA,4
141,Help Desk Technician,Optus,"Perth, Australia",IT Support,47710,39376,56044,Lead/Manager,Part-time,ITIL|Linux|PowerShell|TCP/IP,2025-12-18,False,2025-12,Australia,4
142,Frontend Developer,FutureMind,Remote,Software,97468,66708,138489,Mid Level,Full-time,Docker|TypeScript|REST APIs|CI/CD,2025-10-06,True,2025-10,Remote,4
143,Help Desk Technician,Accenture,"San Francisco, USA",IT Support,55566,39630,52981,Entry Level,Full-time,DHCP|Help Desk|Windows Server|Linux,2025-11-17,False,2025-11,USA,4
144,Qa Engineer,Telstra,"Berlin, Germany",Software,77181,53694,100669,Mid Level,Full-time,TypeScript|SQL|C#|HTML/CSS|Node.js,2025-10-20,False,2025-10,Germany,5
145,Cybersecurity Analyst,FutureMind,"Berlin, Germany",Cybersecurity,103729,72762,134696,Entry Level,Internship,SIEM|Encryption|Linux|Network Security,2026-03-22,False,2026-03,Germany,4
146,System Administrator,BlueWave Software,"Melbourne, Australia",IT Support,86627,59336,105668,Lead/Manager,Full-time,ITIL|Office 365|Windows Server|Troubleshooting|Help Desk|TCP/IP,2025-10-16,False,2025-10,Australia,6
147,Full Stack Developer,IBM,"Sydney, Australia",Software,116708,74873,147430,Mid Level,Full-time,Java|REST APIs|Azure,2025-11-26,False,2025-11,Australia,3
148,Junior Software Developer,Commonwealth Bank,"Bangalore, India",Software,34315,50231,87029,Entry Level,Full-time,AWS|Node.js|Kubernetes|Agile|React,2026-01-07,False,2026-01,India,5
149,Data Engineer,Oracle,"Sydney, Australia",Data,128044,87308,156586,Senior Level,Full-time,Google Cloud|Machine Learning|NumPy|R|Spark|Data Visualization,2025-11-02,False,2025-11,Australia,6
150,Devops Engineer,Meta,"Adelaide, Australia",Software,128040,93433,162648,Entry Level,Full-time,GraphQL|Python|TypeScript|AWS|REST APIs,2026-01-27,False,2026-01,Australia,5
